SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,8828 Royal Doulton Ln,Fairfax,VA,22031,775000,3,3.5,WELLS ADDITION TO WELLS,2080,2166,2001,1,373,95,Active,,,http://www.redfin.com/VA/Fairfax/8828-Royal-Doulton-Ln-22031/home/9839604,BRIGHT MLS,VAFX2028540,N,Y,38.871562,-77.25002
MLS Listing,,Townhouse,22985 Fontwell Sq,Sterling,VA,20166,445000,3,3.0,PARKSIDE AT DULLES,1508,,2004,2,295,200,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/VA/Sterling/22985-Fontwell-Sq-20166/unit-1007/home/12084868,BRIGHT MLS,VALO2010914,N,Y,38.9791985,-77.407938
MLS Listing,,Townhouse,7462 Larne Ln,Lorton,VA,22079,390000,3,2.5,SOUTHGATE WOODS TOWNHOUS,1280,1440,1971,2,305,67,Active,,,http://www.redfin.com/VA/Lorton/7462-Larne-Ln-22079/home/9824330,BRIGHT MLS,VAFX2028798,N,Y,38.713161,-77.199302
MLS Listing,,Townhouse,1375 Heritage Oak Way,Reston,VA,20194,700000,4,3.5,RESTON SEC 61 BLK 2 HERI,2084,2074,1989,2,336,110,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/VA/Reston/1375-Heritage-Oak-Way-20194/home/9145870,BRIGHT MLS,VAFX2028904,N,Y,38.981071,-77.339639
MLS Listing,,Single Family Residential,6518 Kerns Rd,Falls Church,VA,22044,795000,4,3.0,SLEEPY HOLLOW ESTATES,2248,26843,1959,2,354,,Active,,,http://www.redfin.com/VA/Falls-Church/6518-Kerns-Rd-22044/home/9644055,BRIGHT MLS,VAFX2028416,N,Y,38.8548281,-77.1648505
MLS Listing,,Single Family Residential,5809 66th Ave,Riverdale,MD,20737,289999,2,1.0,EASTPINES,1080,6050,1948,2,269,,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/MD/Riverdale/5809-66th-Ave-20737/home/11036364,BRIGHT MLS,MDPG2015326,N,Y,38.9581979,-76.9038236
MLS Listing,,Condo/Co-op,475 K St NW #910,Washington,DC,20001,569000,1,1.0,OLD CITY II,747,,2008,2,762,486,Active,,,http://www.redfin.com/DC/Washington/475-K-St-NW-20001/unit-910/home/21644938,BRIGHT MLS,DCDC2019420,N,Y,38.9028567,-77.0182344
MLS Listing,,Condo/Co-op,732 15th St SE #3,Washington,DC,20003,570000,1,1.0,OLD CITY I,714,,1926,2,798,298,Active,November-7-2021 01:30 PM,November-7-2021 03:30 PM,http://www.redfin.com/DC/Washington/732-15th-St-SE-20003/unit-3/home/62523616,BRIGHT MLS,DCDC2018224,N,Y,38.8800454,-76.9834989
MLS Listing,,Condo/Co-op,2001 15th St N #723,Arlington,VA,22201,504000,2,1.0,ODYSSEY,724,,2006,2,696,410,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/VA/Arlington/2001-15th-St-N-22201/unit-723/home/22675376,BRIGHT MLS,VAAR2006892,N,Y,38.8912215,-77.081359
MLS Listing,,Townhouse,9838 Oakdale Woods Ct,Vienna,VA,22181,507500,3,1.5,OAKTON CLOISTERS,1222,1460,1978,3,415,81,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/VA/Vienna/9838-Oakdale-Woods-Ct-22181/home/9525238,BRIGHT MLS,VAFX2028368,N,Y,38.879527,-77.285493
MLS Listing,,Single Family Residential,8635 Vernon Ave,Alexandria,VA,22309,680000,4,2.5,MOUNT VERNON HILLS,2240,8800,1975,4,304,,Active,,,http://www.redfin.com/VA/Alexandria/8635-Vernon-Ave-22309/home/162821292,BRIGHT MLS,VAFX2027846,N,Y,38.7223789,-77.0910034
MLS Listing,,Townhouse,4533 Superior Sq,Fairfax,VA,22033,425000,3,3.0,GATES OF FAIR LAKES COND,1687,,1997,4,252,523,Active,,,http://www.redfin.com/VA/Fairfax/4533-Superior-Sq-22033/home/17164503,BRIGHT MLS,VAFX2026024,N,Y,38.863014,-77.389973
MLS Listing,,Single Family Residential,3240 Norfolk Ln,Falls Church,VA,22042,585000,4,2.5,BROYHILL PARK,1488,10960,1954,5,393,,Active,,,http://www.redfin.com/VA/Falls-Church/3240-Norfolk-Ln-22042/home/9633070,BRIGHT MLS,VAFX2028550,N,Y,38.8587167,-77.2016446
MLS Listing,,Single Family Residential,5 Girard St NE,Washington,DC,20002,1299000,7,4.5,BROOKLAND,3440,1500,1916,6,378,,Active,,,http://www.redfin.com/DC/Washington/5-Girard-St-NE-20002/home/10071791,BRIGHT MLS,DCDC2017206,N,Y,38.925698,-77.008258
MLS Listing,,Condo/Co-op,5000 Battery Ln #903,Bethesda,MD,20814,1000000,3,2.5,MADISON PARK CODM,1747,,1989,6,572,1216,Active,,,http://www.redfin.com/MD/Bethesda/5000-Battery-Ln-20814/unit-903/home/10698749,BRIGHT MLS,MDMC2021010,N,Y,38.9916171,-77.1020856
MLS Listing,,Single Family Residential,90 Seneca Ridge Dr,Sterling,VA,20164,590000,4,2.5,SENECA CHASE,1782,11761,1984,6,331,,Active,November-5-2021 08:00 AM,November-5-2021 08:00 PM,http://www.redfin.com/VA/Sterling/90-Seneca-Ridge-Dr-20164/home/11940902,BRIGHT MLS,VALO2010988,N,Y,39.0310513,-77.3783117
MLS Listing,,Condo/Co-op,5501 Seminary Rd Unit 2304S,Falls Church,VA,22041,450000,3,2.5,SKYLINE SQUARE,1735,,1982,6,259,744,Active,,,http://www.redfin.com/VA/Falls-Church/5501-Seminary-Rd-22041/unit-2304S/home/9662081,BRIGHT MLS,VAFX2028332,N,Y,38.8419602,-77.1202465
MLS Listing,,Single Family Residential,500 S Highland St,Arlington,VA,22204,824900,3,1.5,ARLINGTON HEIGHTS,1700,5500,1937,6,485,,Active,,,http://www.redfin.com/VA/Arlington/500-S-Highland-St-22204/home/11262379,BRIGHT MLS,VAAR2006656,N,Y,38.8682824,-77.0907336
MLS Listing,,Condo/Co-op,4600 S Four Mile Run Dr #913,Arlington,VA,22204,220000,1,1.0,THE CARLTON,828,,1965,6,266,710,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/VA/Arlington/4600-S-Four-Mile-Run-Dr-22204/unit-913/home/11266482,BRIGHT MLS,VAAR2006400,N,Y,38.8549049,-77.1073903
MLS Listing,,Condo/Co-op,112 Roberts Ln #300,Alexandria,VA,22314,409900,3,2.0,FORT ELLSWORTH,1282,,1974,6,320,655,Active,,,http://www.redfin.com/VA/Alexandria/112-Roberts-Ln-22314/unit-300/home/11850702,BRIGHT MLS,VAAX2005080,N,Y,38.8075727,-77.0720759
MLS Listing,,Townhouse,632 E St SE,Washington,DC,20003,1200000,3,3.0,CAPITOL HILL,1710,1237,1962,6,702,,Active,November-5-2021 08:00 AM,November-5-2021 08:00 PM,http://www.redfin.com/DC/Washington/632-E-St-SE-20003/home/9900555,BRIGHT MLS,DCDC2018806,N,Y,38.8829249,-76.9973258
MLS Listing,,Townhouse,3105 Valley Dr,Alexandria,VA,22302,470000,3,1.0,PARKFAIRFAX,1114,,1941,7,422,581,Active,,,http://www.redfin.com/VA/Alexandria/3105-Valley-Dr-22302/home/11862170,BRIGHT MLS,VAAX2005042,N,Y,38.8327847,-77.079433
MLS Listing,,Single Family Residential,3904 Gallows Rd,Annandale,VA,22003,699000,3,2.5,KENWOOD,1766,9600,1959,7,396,,Active,November-6-2021 01:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/VA/Annandale/3904-Gallows-Rd-22003/home/9639522,BRIGHT MLS,VAFX2000659,N,Y,38.8387978,-77.1948617
MLS Listing,,Condo/Co-op,4545 Macarthur Blvd NW #202,Washington,DC,20007,300000,1,1.0,PALISADES,736,,1967,7,408,510,Active,November-7-2021 12:00 PM,November-7-2021 02:00 PM,http://www.redfin.com/DC/Washington/4545-MacArthur-Blvd-NW-20007/unit-202/home/9939876,BRIGHT MLS,DCDC2018798,N,Y,38.9091902,-77.0866197
MLS Listing,,Condo/Co-op,1417 Newton St NW #504,Washington,DC,20010,385000,1,1.0,COLUMBIA HEIGHTS,580,,1927,7,664,288,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/DC/Washington/1417-Newton-St-NW-20010/unit-504/home/21647598,BRIGHT MLS,DCDC2018634,N,Y,38.9323587,-77.0335528
MLS Listing,,Single Family Residential,6004 44th Ave,Hyattsville,MD,20781,665000,4,3.0,Hyattsville,2100,7500,1911,7,317,,Active,,,http://www.redfin.com/MD/Hyattsville/6004-44th-Ave-20781/home/10944270,BRIGHT MLS,MDPG2015198,N,Y,38.9598083,-76.9420028
MLS Listing,,Condo/Co-op,520 John Carlyle St #331,Alexandria,VA,22314,424900,1,1.0,CONDOS AT CARLYLE SQUARE,730,,2007,7,582,489,Active,,,http://www.redfin.com/VA/Alexandria/520-John-Carlyle-St-22314/unit-331/home/17061785,BRIGHT MLS,VAAX2004988,N,Y,38.8019355,-77.0615516
MLS Listing,,Townhouse,811 Delaware Ave SW #230,Washington,DC,20024,749900,3,2.0,R.L.A. SW,1467,,1961,7,511,630,Active,November-7-2021 01:30 PM,November-7-2021 03:30 PM,http://www.redfin.com/DC/Washington/811-Delaware-Ave-SW-20024/unit-230/home/9885689,BRIGHT MLS,DCDC2017446,N,Y,38.880596,-77.014124
MLS Listing,,Townhouse,625 Kensington Pl NE,Washington,DC,20011,645000,3,1.5,RIGGS PARK,1502,2090,1952,8,429,,Active,November-5-2021 08:00 AM,November-5-2021 08:00 PM,http://www.redfin.com/DC/Washington/625-Kensington-Pl-NE-20011/home/10081332,BRIGHT MLS,DCDC2018416,N,Y,38.9578467,-76.9968533
MLS Listing,,Townhouse,4835 28th St S Unit A,Arlington,VA,22206,520000,2,2.0,FAIRLINGTON VIL,1383,,1944,8,376,412,Active,,,http://www.redfin.com/VA/Arlington/4835-28th-St-S-22206/unit-A/home/11267883,BRIGHT MLS,VAAR2006420,N,Y,38.841732,-77.103282
MLS Listing,,Single Family Residential,11113 Dodson Ln,Silver Spring,MD,20902,450000,3,1.5,WHEATON FOREST,1634,6443,1953,8,275,,Active,,,http://www.redfin.com/MD/Silver-Spring/11113-Dodson-Ln-20902/home/11031608,BRIGHT MLS,MDMC2020472,N,Y,39.038403,-77.0443704
MLS Listing,,Condo/Co-op,1801 Otis St NE #4,Washington,DC,20018,625000,3,2.0,WOODRIDGE,1159,,2021,8,539,367,Active,,,http://www.redfin.com/DC/Washington/1801-Otis-St-NE-20018/unit-4/home/176801619,BRIGHT MLS,DCDC2017964,N,Y,38.9349139,-76.9794037
MLS Listing,,Townhouse,9942 Longford Ct,Vienna,VA,22181,549000,3,3.5,WATERFORD SEC 2,1423,1423,1976,8,386,111,Active,,,http://www.redfin.com/VA/Vienna/9942-Longford-Ct-22181/home/9524776,BRIGHT MLS,VAFX2027270,N,Y,38.878316,-77.28646
MLS Listing,,Townhouse,607 Rittenhouse St NW,Washington,DC,20011,575000,3,1.5,BRIGHTWOOD,1054,1409,1925,8,546,,Active,,,http://www.redfin.com/DC/Washington/607-Rittenhouse-St-NW-20011/home/10055308,BRIGHT MLS,DCDC2018850,N,Y,38.9651229,-77.0215533
